id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
R4-AM-1,R4,午前,1,建築学,環境工学,換気に関する記述として、最も不適当なものはどれか。,必要換気量は、1時間当たりに必要な室内の空気を入れ替える量で表される。,温度差による自然換気は、冬期には中性帯より下部から外気が流入し、上部から流出する。,全熱交換器は、冷暖房を行う部屋で換気設備に用いると、換気による熱損失や熱取得を軽減できる。,室内の効率的な換気は、給気口から排気口に至る換気経路を短くするほうがよい。,4,【ショーケン版】おい！給気口と排気口が近すぎたら、せっかく入れた新鮮な空気が部屋を回らずにすぐ出ていくだけだろ！これを「ショートサーキット」って言うんだ。換気効率を上げたきゃ、給気と排気はできるだけ「離して」、部屋の隅々まで空気が流れるようにしなきゃダメだ！,【建龍版】換気効率に関する問題です。給気口と排気口の距離が近いと、新鮮な空気が室内全体に行き渡る前に排出されてしまうショートサーキット現象が発生し、換気効率が低下します。効率的な換気のためには、経路を長く（対角線上等に配置）し、室全体を空気が流れるように計画する必要があります。,
R4-AM-2,R4,午前,2,建築学,環境工学,伝熱に関する記述として、最も不適当なものはどれか。,熱放射は、電磁波による熱の移動現象で、真空中においても生じる。,壁体の含湿率が増加すると、その壁体の熱伝導率は小さくなる。,壁体の熱伝達抵抗と熱伝導抵抗の和の逆数を、熱貫流率という。,物質の単位体積当たりの熱容量を、容積比熱という。,2,【ショーケン版】断熱材が「水」を吸ったら使いもんにならねえだろ！空気よりも水の方がはるかに熱を伝えやすいんだ。壁が湿る（含湿率が上がる）と、熱はスイスイ伝わっちまう。つまり熱伝導率は「大きく」なるんだよ。ジメジメした壁は冬寒くて夏暑い、これが現場の常識だ！,【建龍版】材料の熱的性質に関する問題です。一般に、建築材料は水分を含むと（含湿率が増加すると）、水が空気よりも熱伝導率が高いために、材料全体の熱伝導率も「大きく」なります。断熱性能が低下することを意味するため、「小さくなる」とする記述は不適当です。,
R4-AM-3,R4,午前,3,建築学,環境工学,音に関する記述として、最も不適当なものはどれか。,音波は、媒体粒子（空気分子等）の振動方向と波の伝搬方向が等しい縦波（疎密波）である。,音速は、気温が高くなるほど速くなる。,音波が障害物の背後に回り込む現象を回折といい、低い周波数よりも高い周波数の音のほうが回折しやすい。,ある音が別の音によって聞き取りにくくなるマスキング効果は、両者の周波数が近いほどその影響が大きい。,3,【ショーケン版】音の「回折（回り込み）」は、周波数が「低い」音、つまり「低い音」ほど壁の裏まで回り込みやすいんだよ。高い音はまっすぐ飛んでいって回り込めねえ。外の大型トラックのブーンっていう低音が聞こえてくるのはそのせいだ！逆を言うな！,【建龍版】音の物理的性質に関する問題です。回折（音の回り込み）は、音の波長が長いほど、すなわち周波数が「低い」ほど顕著に生じます。高い周波数の音ほど直進性が強く、回折しにくいため、記述は不適当です。なお、音速は $V = 331.5 + 0.6t$（$t$は気温）で表され、高温ほど速くなります。,
R4-AM-4,R4,午前,4,建築学,構造計画,鉄筋コンクリート造の建築物の構造計画に関する記述として、最も不適当なものはどれか。,ねじれ剛性は、耐震壁等の耐震要素を平面上の中心部に配置するよりも外側に均一に配置したほうが高まる。,壁に換気口等の小開口がある場合でも、その壁を耐震壁として扱うことができる。,平面形状が極めて長い建築物には、コンクリートの乾燥収縮や不同沈下等による問題が生じやすいため、エキスパンションジョイントを設ける。,柱は、地震時の脆性破壊の危険を避けるため、軸方向圧縮応力度が大きくなるようにする。,4,【ショーケン版】柱をパンパンに圧縮しすぎだ！重みをかけすぎた柱（軸力大）は、地震が来た時に「粘り（じん性）」がなくなって、バキッと一気に折れちまう（脆性破壊）。地震に強いRC造にしたきゃ、柱の圧縮ストレスはできるだけ「小さく」抑えて、しなやかに耐えさせるのが鉄則だ！,【建龍版】RC造の耐震設計に関する問題です。柱の軸方向圧縮力が大きくなると、地震時の変形能力（じん性）が損なわれ、突然破壊する「脆性破壊」を起こしやすくなります。耐震性能を確保するためには、柱の軸方向圧縮応力度を一定限度以下に制限し、せん断破壊を避ける設計が必要です。したがって「大きくするようにする」とする記述は不適当です。,
R4-AM-5,R4,午前,5,建築学,木質構造,木質構造に関する記述として、最も不適当なものはどれか。,同一の接合部にボルトと釘を併用する場合の許容耐力は、両者を加算することができる。,2階建ての建築物における隅柱は、接合部を通し柱と同等以上の耐力を有するように補強した場合、通し柱としなくてもよい。,燃えしろ設計は、木質材料の断面から所定の燃えしろ寸法を除いた断面に、長期荷重により生じる応力度が、短期の許容応力度を超えないことを検証するものである。,直交集成板(CLT)の弾性係数、基準強度は、強軸方向であっても、一般的な製材、集成材等の繊維方向の値と比べて小さくなっている。,1,【ショーケン版】「ボルト」と「釘」は性格が全然違うんだよ！ガチッと効くボルトと、しなるように耐える釘を一緒にしても、力がかかるタイミングがズレるから単純に「足し算（累加）」しちゃダメなんだ。異種の接合具を混ぜる時は、どっちか一方の力しか認めないのが木造のルールだ！,【建龍版】木材の接合部設計に関する問題です。剛性（硬さ）が著しく異なる接合具（ボルトと釘など）を併用する場合、それぞれの耐力が発揮される変形レベルが異なるため、両方の耐力を単純に累加することはできません。原則として、いずれか一方の耐力を採用するか、詳細な検討が必要となります。したがって「1」が不適当です。,
R4-AM-6,R4,午前,6,建築学,鉄骨構造,鉄骨構造に関する記述として、最も不適当なものはどれか。,梁の材質を SN 400 A から SN 490 B に変えても、部材断面と荷重条件が同一ならば、構造計算上、梁のたわみは同一である。,節点の水平移動が拘束されているラーメン構造では、柱の座屈長さは、設計上、節点間の距離に等しくとることができる。,トラス構造の節点は、構造計算上、すべてピン接合として扱う。,柱脚に高い回転拘束力をもたせるためには、根巻き形式ではなく露出形式とする。,4,【ショーケン版】「露出形式（ベースプレートだけ）」の柱脚に、そんなに強い拘束力は期待できねえよ！柱の足元をガッチリ固めたい（固定に近い状態にしたい）なら、コンクリの中に深く埋め込む「埋込み形式」か、周りをコンクリで補強する「根巻き形式」にするのがセオリーだろ。露出形は回転しやすいんだ！,【建龍版】鉄骨柱脚の特性に関する問題です。柱脚の回転拘束力（剛性）は、一般に「埋込み形式 ＞ 根巻き形式 ＞ 露出形式」の順に高くなります。露出形式はベースプレートとアンカーボルトのみで固定するため、比較的回転しやすい（半固定〜ピンに近い）扱いです。高い回転拘束力を得るために露出形とする記述は不適当です。,
R4-AM-7,R4,午前,7,建築学,基礎構造,地盤及び基礎構造に関する記述として、最も不適当なものはどれか。,圧密沈下の許容値は、独立基礎のほうがべた基礎に比べて大きい。,粘性土地盤の圧密沈下は、地中の応力の増加により長時間かかって土中の水が絞り出され、間隙が減少するために生じる。,直接基礎の滑動抵抗は、基礎底面の摩擦抵抗が主体となるが、基礎の根入れを深くすることで基礎側面の受動土圧も期待できる。,地盤の液状化は、地下水面下の緩い砂地盤が地震時に繰り返しせん断を受けることにより間隙水圧が上昇し、水中に砂粒子が浮遊状態となる現象である。,1,【ショーケン版】「独立基礎（1本足）」の沈下限界を甘く見んな！独立基礎は1本ずつがバラバラに沈む「不同沈下」になりやすいから、建物がすぐ傾く。だから許容される沈下量は、全体で支える「べた基礎」よりも「小さく」厳しく設定しなきゃダメなんだ。べた基礎の方がどっしりしてるから、多少の沈下には強いんだよ！,【建龍版】地盤の許容沈下量に関する問題です。基礎形式ごとの許容沈下量は、不同沈下による建物への影響を考慮して定めます。べた基礎は建物全体が一体となって沈むため比較的大きな沈下量（10cm程度）まで許容されますが、独立基礎は不同沈下のリスクが高いため、より「小さい（5cm程度）」値で管理されます。したがって「1」が不適当です。,
R4-AM-8,R4,午前,8,建築学,荷重・外力,建築物に作用する荷重及び外力に関する記述として、最も不適当なものはどれか。,風圧力を求めるために用いる風力係数は、建築物の外圧係数と内圧係数の積により算出する。,雪下ろしを行う慣習のある地方において、垂直積雪量が 1 m を超える場合、積雪荷重は、雪下ろしの実況に応じ垂直積雪量を 1 m まで減らして計算することができる。,劇場、映画館等の客席の単位床面積当たりの積載荷重は、実況に応じて計算しない場合、固定席のほうが固定されていない場合より小さくすることができる。,速度圧の計算に用いる基準風速は、原則として、その地方の再現期間 50 年の 10 分間平均風速値に相当する。,1,【ショーケン版】風力係数の計算を「掛け算（積）」だと思ってんのか！風の力は、建物の外側から押す力（外圧）と、中から押し返す力（内圧）の「引き算（差）」で決まるんだ（$C_f = C_{pe} - C_{pi}$）。積じゃなくて「差」だ。数式の基本を間違えたら、台風で屋根が飛んでいくぞ！,【建龍版】風圧力の算定に関する問題です。建築物の風力係数 $C_f$ は、外圧係数 $C_{pe}$ から内圧係数 $C_{pi}$ を差し引いた「差（$C_{pe} - C_{pi}$）」として算出します。積（掛け算）とする記述は誤りです。なお、再現期間50年の基準風速や、固定席の積載荷重の緩和等は正しい記述です。,
R4-AM-9,R4,午前,9,建築学,構造力学,図に示す3ヒンジラーメン架構の AD 間に水平集中荷重が、DC 間に鉛直集中荷重が同時に作用したとき、支点 B に生じる水平反力 HB、鉛直反力 VB の値の大きさの組合せとして、正しいものはどれか。,"HB = 2 kN, VB = 6 kN","HB = 3 kN, VB = 9 kN","HB = 4 kN, VB = 12 kN","HB = 5 kN, VB = 15 kN",1,【ショーケン版】まずは全体で VB を出せ！A点周りのモーメント ΣMA=0 で計算すると、鉛直荷重 6kN が 2m の位置、水平荷重 6kN が 4m の位置にあるから、VB は 6kN になる。次に「ヒンジC」で右半分（C-E-B）を切って考えるんだ。C点周りのモーメント ΣMC=0 より、鉛直反力 VB(6kN) × 距離 2m ＝ 水平反力 HB × 高さ 6m。これを解くと HB は「2kN」になる。ヒンジで切ってから計算しやすい「荷重のない方」で解くのがプロの時短術だぞ！,【建龍版】3ヒンジラーメンの反力計算です。1.全体のA点周りのモーメントつり合いより、$V_B \cdot 6 - 6 \cdot 2 - 6 \cdot 4 = 0 \Rightarrow 6V_B = 12 + 24 = 36 \Rightarrow V_B = 6\text{kN}$。2.右側部分（C-E-B）のC点周りのモーメントつり合いより、$V_B \cdot 2 - H_B \cdot 6 = 0 \Rightarrow 6 \cdot 2 = 6H_B \Rightarrow H_B = 2\text{kN}$。したがって「1」が正解です。,R4-AM-9.jpg
R4-AM-10,R4,午前,10,建築学,構造力学,図に示す単純梁 AB の CD 間に等分布荷重 w が、点 E に集中荷重 P が同時に作用したときの曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張り側に描くものとする。,図1,図2,図3,図4,2,【ショーケン版】等分布荷重がかかってる「C-D間」だけが放物線（カーブ）になるんだよ！それ以外の A-C、D-E、E-B は全部「直線」だ。図2をよく見ろ、C-D間だけが綺麗に膨らんでるだろ？図1は全部カクカクの直線だから集中荷重だけの図だし、図3と4は変なところで折れ曲がってる。荷重の「種類」と「形」を一致させるのが鉄則だ！,【建龍版】単純梁の曲げモーメント図（BMD）の判別です。等分布荷重が作用する区間（C-D間）の曲げモーメントは二次放物線となり、集中荷重のみが作用する区間や荷重のない区間は直線となります。本問では C-D 間のみが放物線で、それ以外の区間が直線で構成されている「2」が構造力学的に正しい図となります。,R4-AM-10.jpg
