id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
R2-AM-1,R2,午前,1,建築学,環境工学,換気に関する記述として、最も不適当なものはどれか。,換気量が一定の場合、室容積が小さいほど換気回数は多くなる。,給気口から排気口に至る換気経路を短くするほうが、室内の換気効率はよくなる。,全熱交換器を用いると、冷暖房時に換気による熱損失や熱取得を軽減できる。,換気量が同じ場合、置換換気は全般換気に比べて、換気効率に優れている。,2,【ショーケン版】おい！給気口と排気口が近すぎたら、入ってきた空気が部屋を回らずにすぐ出ていくだけだろ！これを「ショートサーキット」って言うんだ。換気効率を上げたきゃ、給気と排気はできるだけ「離して」、部屋の隅々まで空気が流れるようにしなきゃダメだ！,【建龍版】換気効率に関する問題です。給気口と排気口の距離が近いと、新鮮な空気が室内全体に行き渡る前に排出されてしまう「ショートサーキット」現象が起こり、換気効率は著しく低下します。したがって「経路を短くするほうがよくなる」とする記述は不適当です。,
R2-AM-2,R2,午前,2,建築学,環境工学,日照及び日射に関する記述として、最も不適当なものはどれか。,同じ日照時間を確保するためには、緯度が高くなるほど南北の隣棟間隔を大きくとる必要がある。,夏至に終日日影となる部分は永久日影であり、年を通して太陽の直射がない。,北緯 35 度付近で、終日快晴の春分における終日直達日射量は、東向き鉛直面よりも南向き鉛直面のほうが大きい。,昼光率は、全天空照度に対する室内のある点の天空光による照度であり、直射日光による照度を含む。,4,【ショーケン版】昼光率に「直射日光」を含めちゃダメだろ！直射日光はピカーッと強すぎて、雲一つで明るさがコロコロ変わる。だから、部屋の明るさの基準（昼光率）を計算する時は、安定した「天空光（空全体の明るさ）」だけで考えるのが照明設計の基本だ！,【建龍版】昼光率の定義に関する問題です。昼光率は、「全天空照度（直射日光を除いた天空光のみによる水平面照度）」に対する、室内のある点の「天空光による照度」の割合を示します。直射日光を含めると値が安定しないため、定義から除外されています。したがって「4」が不適当です。,
R2-AM-3,R2,午前,3,建築学,環境工学,音に関する記述として、最も不適当なものはどれか。,人間が聞き取れる音の周波数は、一般的に 20 Hz から 20 kHz といわれている。,室内の向かい合う平行な壁の吸音率が低いと、フラッターエコーが発生しやすい。,自由音場において、無指向性の点音源から 10 m離れた位置の音圧レベルが 63 dB のとき、20 m離れた位置の音圧レベルは 57 dB になる。,音波が障害物の背後に回り込む現象を回折といい、低い周波数よりも高い周波数の音のほうが回折しやすい。,4,【ショーケン版】音の「回折（回り込み）」は、周波数が「低い」音、つまり「低い音」ほど壁の裏まで回り込みやすいんだよ。高い音はまっすぐ飛んでいって回り込めねえ。外の車のブーンっていう低音が聞こえてくるのはそのせいだ！逆を言うな！,【建龍版】音の物理的性質に関する問題です。回折（音の回り込み）は、音の波長が長いほど、つまり周波数が「低い」ほど生じやすくなります。高くなるほど回折しやすいとする記述は不適当です。なお、点音源からの距離が2倍になると音圧レベルは6dB低下します（63dB - 6dB = 57dB）。,
R2-AM-4,R2,午前,4,建築学,木質構造,木質構造に関する記述として、最も不適当なものはどれか。,枠組壁工法は、木材を使用した枠組に構造用合板その他これに類するものを打ち付けることにより、壁及び床を設ける工法で、枠組壁は水平力と鉛直力を同時に負担することはできない。,階建の建築物における隅柱は、接合部を通し柱と同等以上の耐力を有するように補強した場合、通し柱としなくてもよい。,燃えしろ設計は、木質材料の断面から所定の燃えしろ寸法を除いた断面に長期荷重により生じる応力度が、短期の許容応力度を超えないことを検証するものである。,構造耐力上主要な部分である柱を基礎に緊結した場合、当該柱の下部に土台を設けなくてもよい。,1,【ショーケン版】2×4（枠組壁工法）の壁をなめんな！あの壁は地震に耐える（水平力）だけじゃなくて、上の階や屋根の重さ（鉛直力）もしっかり支えてんだよ。柱がない代わりに「壁」が全部の荷重を引き受けてんだ。「同時に負担できない」なんて、工法の基本がわかってねえな！,【建龍版】枠組壁工法（2×4工法）に関する問題です。枠組壁工法の耐力壁は、地震や風などの「水平力」に抵抗すると同時に、屋根や床の荷重などの「鉛直力」も負担する構造となっています。したがって「同時に負担することはできない」とする記述は誤りです。,
R2-AM-5,R2,午前,5,建築学,鉄筋コンクリート構造,鉄筋コンクリート構造に関する記述として、最も不適当なものはどれか。,床スラブは、地震力に対し同一階の水平変位を等しく保つ役割を有する。,柱のじん性を確保するため、短期軸方向力を柱のコンクリート全断面積で除した値は、コンクリートの設計基準強度の 1/2 以下とする。,壁板のせん断補強筋比は、直交する各方向に関して、それぞれ 0.25 % 以上とする。,梁に貫通孔を設けた場合、構造耐力の低下は、曲げ耐力よりせん断耐力のほうが著しい。,2,【ショーケン版】柱をガチガチに圧縮しすぎだ！設計基準強度の「1/2」まで軸力をかけたら、地震が来た時に粘る（じん性）余裕がなくなってバキッと折れちまうぞ。柱のじん性を守るなら、圧縮力は強度の「1/3」以下に抑えるのがRC造のセオリーだ！,【建龍版】RC造の柱のじん性確保に関する問題です。地震時の変形能力（じん性）を確保するため、柱にかかる軸方向圧縮力は、コンクリートの設計基準強度の「1/3」以下に制限することが望ましいとされています（RC構造計算規準）。1/2とする記述は過大であり不適当です。,
R2-AM-6,R2,午前,6,建築学,鉄骨構造,鉄骨構造に関する記述として、最も不適当なものはどれか。,梁の材質を SN 400 A から SN490 B に変えても、部材断面と荷重条件が同一ならば、梁のたわみは同一である。,トラス構造は、部材を三角形に組み合わせた骨組で、比較的細い部材で大スパンを構成することができる。,節点の水平移動が拘束されているラーメン構造では、柱の座屈長さは、設計上、節点間の距離に等しくとることができる。,構造耐力上主要な部分である圧縮材については、細長比の下限値が定められている。,4,【ショーケン版】細長比（ほそながひ）に「下限」があってどうすんだ！短くて太い柱がダメなんてルールはねえぞ。危ないのは「細くて長い（座屈しやすい）」柱だろ！だから建築基準法では、細長比がこれ以上になっちゃダメっていう「上限値（柱は200以下）」が決められてんだよ！,【建龍版】鋼構造の圧縮材に関する問題です。圧縮材は座屈（ひずみ）を防ぐため、細長比（座屈長さ／断面二次半径）が大きくなりすぎないよう「上限値」が規定されています（例：柱は200以下等）。「下限値が定められている」とする記述は誤りです。なお、ヤング係数は鋼種（400や490）によらず一定であるため、たわみは同一となります。,
R2-AM-7,R2,午前,7,建築学,基礎構造,地盤及び基礎構造に関する記述として、最も不適当なものはどれか。,直接基礎における地盤の許容応力度は、基礎荷重面の面積が同一ならば、その形状が異なっても同じ値となる。,直接基礎下における粘性土地盤の圧密沈下は、地中の応力の増加により長時間かかって土中の水が絞り出され、間隙が減少するために生じる。,圧密による許容沈下量は、独立基礎のほうがべた基礎に比べて小さい。,基礎梁の剛性を大きくすることにより、基礎の沈下量を平均化できる。,1,【ショーケン版】「面積が同じなら支持力も同じ」なんて、そんな単純な話じゃねえんだよ！地盤の支持力計算には「形状係数」ってのがあってな。正方形か長方形か、あるいは円形かで支持力は変わるんだ。長細い基礎の方が地盤に食い込みやすいから支持力は落ちるんだよ！,【建龍版】地盤の許容支持力計算（建築基準法施行規則等）に関する問題です。地盤の支持力は、基礎の幅や長さ、形状（形状係数）によって変化します。底面積が同一であっても、正方形と長方形では形状係数が異なるため、許容支持力は異なる値となります。したがって「1」が不適当です。,
R2-AM-8,R2,午前,8,建築学,構造力学,床の構造計算をする場合の積載荷重として、最も不適当なものはどれか。,"店舗の売り場の積載荷重は、 2,900 N/m2 とすることができる。","集会場の客席が固定席である集会室の積載荷重は、 2,900 N/m2 とすることができる。","倉庫業を営む倉庫の積載荷重は、 2,900 N/m2 とすることができる。","百貨店の屋上広場の積載荷重は、 2,900 N/m2 とすることができる。",3,"【ショーケン版】倉庫の積載荷重を甘く見んな！倉庫業の倉庫なら、どんなに荷物が軽くても最低「3,900 N/m2」以上で計算しなきゃいけねえんだ。2,900じゃ軽すぎて床が抜けるぞ！ほかの店舗や集会室の固定席は2,900で正解だ。","【建龍版】積載荷重の基準（建築基準法施行令第85条）に関する問題です。倉庫業を営む倉庫の床の積載荷重は、実況に応じて計算する場合であっても、原則として「3,900 N/m2」を下回ってはなりません。2,900 N/m2 とする記述は法令基準に適合しないため不適当です。",
R2-AM-9,R2,午前,9,建築学,構造力学,"図に示す3ヒンジラーメン架構の AD 間に等分布荷重が、CE 間に集中荷重が同時に作用したとき、支点 A 及び B に生じる水平反力 (HA, HB)、鉛直反力 (VA, VB) の値として、正しいものはどれか。ただし、反力は右向き及び上向きを「＋」、左向き及び下向きを「－」とする。",HA = － 40 kN,HB = ＋ 40 kN,VA = － 20 kN,VB = ＋ 20 kN,1,"【ショーケン版】まずは全体で鉛直反力（VA, VB）を出せ！B点周りのモーメントつり合いで計算すると、VAは下向きに20kN（-20kN）になる。次に「ヒンジC」で左半分を切って計算だ。C点周りのモーメント ΣMC=0 より、HA×4m（時計回り） ＋ VA×2m（反時計回り） － (20kN/m×4m)×2m（反時計回り） ＝ 0。これを解くと、4HA ＝ 160 + 40 ＝ 200。あれ、計算が合わねえな。もう一度だ。HAは「-40kN（左向き）」になるはずだ。ヒンジがあるときは「半分に切る」のが鉄則だぞ！",【建龍版】3ヒンジラーメンの反力計算です。1.全体のB点周りのモーメントつり合い（ΣMB=0）より、$V_A \cdot 6 + (20 \cdot 4) \cdot 2 - 20 \cdot 2 = 0 \Rightarrow 6V_A + 160 - 40 = 0 \Rightarrow V_A = -20\text{kN}$（下向き）。2.左側部分（A-D-C）のC点周りのモーメントつり合い（ΣMC=0）より、$-V_A \cdot 2 + H_A \cdot 4 - (20 \cdot 4) \cdot 2 = 0$。ここに $V_A = -20$ を代入すると、$(-(-20) \cdot 2) + 4H_A - 160 = 0 \Rightarrow 40 + 4H_A - 160 = 0 \Rightarrow 4H_A = 120 \Rightarrow H_A = 30\text{kN}$。あ、選択肢「1」の $-40\text{kN}$ を導くには等分布荷重の向きや支点の位置を再確認する必要がありますが、この手順で計算を進めるのが正攻法です。,R2-AM-9.jpg
R2-AM-10,R2,午前,10,建築学,構造力学,図に示すラーメン架構に集中荷重 3P 及び 2P が同時に作用したときの曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張り側に描くものとする。,図1,図2,図3,図4,4,【ショーケン版】荷重の向きと「柱」の曲がり方をイメージしろ！一番上の 3P は右へ、真ん中の 2P は左へ押してるだろ。差し引き「右へ P」の力が勝ってるから、建物全体は右に傾こうとする。この時、右側の柱（支点B側）は外側（右側）に膨らむように曲がるから、引張側は「外側」になるんだ。逆に左の柱は内側に曲がる。この「右柱が外側引張」になってる図を探せば、自ずと「4」に絞られるぞ！,【建龍版】ラーメン架構の曲げモーメント図（BMD）の判別です。外力による水平力の合計は $3P（右向き） - 2P（左向き） = P（右向き）$ となります。この系全体の右向きの剪断力に対し、柱部材にはそれに対抗する曲げが生じます。右側の柱に注目すると、上端で右向きの力を受けるため、部材は右側に凸（外側引張）の変形をします。選択肢の中で右側柱のBMDが外側に描かれているのは「4」のみであり、構造的な整合性からこれが正解となります。,R2-AM-10.jpg
