id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
R5-AM-1,R5,午前,1,建築学,環境工学,日照及び日射に関する記述として、最も不適当なものはどれか。,北緯 35°における南面の垂直壁面の可照時間は、夏至日より冬至日のほうが長い。,日影規制は、中高層建築物が敷地境界線から一定の距離を超える範囲に生じさせる、冬至日における日影の時間を制限している。,水平ルーバーは東西面の日射を遮るのに効果があり、縦ルーバーは南面の日射を遮るのに効果がある。,全天日射は、直達日射と天空日射を合計したものである。,3,【ショーケン版】ルーバーの向きを逆さまに覚えてんぞ！南面の太陽は「高い」ところにあるから、ひさしみたいな「水平ルーバー」が効くんだよ。逆に、東や西の太陽は「低い」から、横からの光をカットする「縦ルーバー」が正解だ。現場の窓にどっちを付けるか、太陽の動きをイメージしろ！,【建龍版】日射遮蔽に関する問題です。南面は太陽高度が高いため、水平方向に張り出した「水平ルーバー（ひさし）」が有効です。一方、東西面は太陽高度が低く、斜めから光が差し込むため、「縦ルーバー」が日射遮蔽に効果的です。記述はそれぞれの役割を逆に説明しているため、不適当です。,
R5-AM-2,R5,午前,2,建築学,環境工学,採光及び照明に関する記述として、最も不適当なものはどれか。,横幅と奥行きが同じ室において、光源と作業面の距離が離れるほど室指数は小さくなる。,設計用全天空照度は、快晴の青空のときのほうが薄曇りのときよりも小さな値となる。,照度は、単位をルクス(lx)で示し、受照面の単位面積当たりの入射光束のことをいう。,光度は、単位をカンデラ(cd)で示し、反射面を有する受照面の光の面積密度のことをいう。,4,【ショーケン版】「光度（カンデラ）」を面積密度だなんて言うな！それは「輝度（きど）」の説明だろ！光度ってのは「ある方向に出てる光の強さ」のことなんだよ。言葉の意味をゴッチャにすんな。カンデラ、ルクス、ニト（輝度）、この違いを仕分けろ！,【建龍版】照明用語の定義に関する問題です。「光度」は光源からある方向への光の強さを表し、単位はカンデラ(cd)です。記述にある「受照面の光の面積密度（cd/m2）」は「輝度」の説明であり、不適当です。なお、薄曇りの全天空照度が快晴時より大きい（約5万lx対約1万lx）点は重要です。,
R5-AM-3,R5,午前,3,建築学,環境工学,吸音及び遮音に関する記述として、最も不適当なものはどれか。,吸音材は、音響透過率が高いため、遮音性能は低い。,多孔質の吸音材は、一般に低音域より高音域の吸音に効果がある。,単層壁において、面密度が大きいほど音響透過損失は小さくなる。,室間音圧レベル差の遮音等級は D 値で表され、D 値が大きいほど遮音性能は高い。,3,【ショーケン版】「重い壁（面密度大）」ほど、音を跳ね返す力が強いに決まってんだろ！面密度がデカければ、音響透過損失（音を遮る量）は「大きく」なる。これが「質量則」だ。薄くて軽い壁ほど音がダダ漏れになるのを想像してみろ！,【建龍版】遮音の「質量則」に関する問題です。単層壁の遮音性能（音響透過損失）は、壁の単位面積当たりの質量（面密度）が大きいほど、また周波数が高いほど大きくなります。したがって「面密度が大きいほど透過損失が小さくなる」とする記述は不適当です。,
R5-AM-4,R5,午前,4,建築学,構造計画,免震構造に関する一般的な記述として、最も不適当なものはどれか。,アイソレータは、上部構造の重量を支持しつつ水平変形に追従し、適切な復元力を持つ。,免震部材の配置を調整し、上部構造の重心と免震層の剛心を合わせることで、ねじれ応答を低減できる。,地下部分に免震層を設ける場合は、上部構造と周囲の地盤との間にクリアランスが必要である。,ダンパーは、上部構造の垂直方向の変位を抑制する役割を持つ。,4,【ショーケン版】ダンパーの仕事を勘違いすんな！ダンパーは地震の「揺れのエネルギー」を吸収（減衰）して、水平方向の動きを早く止めるためのもんだ。「垂直方向（上下）」の変位を抑えるもんじゃねえぞ。免震はあくまで「横揺れ」対策がメインだ！,【建龍版】免震装置の役割に関する問題です。「ダンパー」は地震エネルギーを吸収し、建物の「水平方向」の揺れ（応答変位）を抑制し、早く収束させるための装置です。垂直方向の変位を抑制するものではないため、記述は不適当です。,
R5-AM-5,R5,午前,5,建築学,鉄筋コンクリート構造,鉄筋コンクリート構造の建築物の構造計画に関する一般的な記述として、最も不適当なものはどれか。,普通コンクリートを使用する場合の柱の最小径は、その構造耐力上主要な支点間の距離の 1/15 以上とする。,耐震壁とする壁板のせん断補強筋比は、直交する各方向に関して、それぞれ 0.25 % 以上とする。,床スラブの配筋は、各方向の全幅について、コンクリート全断面積に対する鉄筋全断面積の割合を 0.2 % 以上とする。,梁貫通孔は、梁端部への配置を避け、孔径を梁せいの 1/3 以下とする。,3,【ショーケン版】床スラブの鉄筋を「0.1%」しか入れない気か！それじゃ乾燥収縮でひび割れだらけになるぞ。RC造のスラブには、最低でも「0.2%以上」の鉄筋を入れなきゃいけないってのが鉄則だ。0.1は少なすぎ、お話にならねえぞ！,【建龍版】RC造の配筋規定に関する問題です。床スラブの引張鉄筋比（コンクリート全断面積に対する鉄筋全断面積の割合）は、ひび割れ抑制と耐力確保のため、各方向において「0.2 % 以上」とする必要があります。0.1 % 以上とする記述は不適当です。,
R5-AM-6,R5,午前,6,建築学,鉄骨構造,鉄骨構造に関する記述として、最も不適当なものはどれか。,角形鋼管柱の内ダイアフラムは、せいの異なる梁を 1 本の柱に取り付ける場合等に用いられる。,H形鋼は、フランジやウェブの幅厚比が大きくなると局部座屈を生じやすい。,シヤコネクタでコンクリートスラブと結合された鉄骨梁は、上端圧縮となる曲げ応力に対して横座屈を生じにくい。,部材の引張力によってボルト孔周辺に生じる応力集中の度合は、高力ボルト摩擦接合より普通ボルト接合のほうが大きい。,2,【ショーケン版】「幅厚比（はばあつひ）」の意味を考えろ！幅厚比がデカいってことは、板が「薄くて広い」ってことだろ。そんな薄っぺらな板に力をかけたら、すぐにペコッと「局部座屈」しちまうんだ。だから幅厚比が大きいほど座屈は「しやすく」なる。逆を言うな！,【建龍版】鉄骨部材の局部座屈に関する問題です。幅厚比（部材の幅や径を厚さで割った値）が大きくなるほど、板要素は薄く不安定になるため、荷重に対して「局部座屈を生じやすく」なります。記述の「生じにくい」は誤りです。なお、シヤコネクタ（頭付きスタッド）による横座屈抑制や、接合部の応力集中については正しい記述です。,
R5-AM-7,R5,午前,7,建築学,基礎構造,杭基礎に関する記述として、最も不適当なものはどれか。,杭の周辺地盤に沈下が生じたときに杭に作用する負の摩擦力は、支持杭より摩擦杭のほうが大きい。,杭と杭の中心間隔は、杭径が同一の場合、埋込み杭のほうが打込み杭より小さくすることができる。,杭の極限鉛直支持力は、極限先端支持力と極限周面摩擦力との和で表わす。,杭の引抜き抵抗力に杭の自重を加える場合、地下水位以下の部分の浮力を考慮する。,1,【ショーケン版】「負の摩擦力（ネガティブフリクション）」をなめんな！地盤が沈む時に杭を下に引きずり込もうとする力だ。カチッとした固い層に刺さってる「支持杭」の方が、杭が沈まない分、周りの土とのズレが大きくなって強烈な負の摩擦力を受けるんだよ。摩擦杭は土と一緒に沈むから、ダメージは支持杭よりマシなんだ！,【建龍版】杭の負の摩擦力（ネガティブフリクション）に関する問題です。周辺地盤の沈下に伴い杭を下方へ引き下ろそうとする「負の摩擦力」は、杭自体が沈下しにくい「支持杭」においてより顕著に（大きく）作用します。「摩擦杭のほうが大きい」とする記述は不適当です。,
R5-AM-8,R5,午前,8,建築学,構造力学,図に示す柱 AB の図心 G に鉛直荷重 P と水平荷重 Q が作用したとき、底部における引張縁応力度の値の大きさとして、正しいものはどれか。ただし、柱の自重は考慮しないものとする。,3 N/mm²,7 N/mm²,10 N/mm²,13 N/mm²,2,"【ショーケン版】応力度の計算は「足し算・引き算」だ！まずは上からの荷重 P による「圧縮」を計算しろ。180,000N / (300×200mm²) ＝ 3N/mm²（圧縮）。次に横からの力 Q による「曲げ」だ。モーメント M = 15,000N × 2,000mm = 30,000,000N・mm。断面係数 Z = (200×300²) / 6 = 3,000,000mm³。曲げ応力度 σ = M/Z = 10N/mm²。引張側（左側）は、曲げの引張 10 から圧縮の 3 を引いて「7N/mm²」だ！圧縮が効いてる分、引張が相殺されるのを忘れるな！","【建龍版】柱底部の縁応力度計算です。鉛直荷重による平均圧縮応力度 $\sigma_c = P / A$ と、水平荷重による曲げ応力度 $\sigma_b = M / Z$ を重ね合わせます。1. $\sigma_c = 180 \text{kN} / (300 \text{mm} \times 200 \text{mm}) = 180,000 / 60,000 = 3 \text{N/mm}^2$（全断面圧縮）。2. $M = Q \times h = 15 \text{kN} \times 2 \text{m} = 30 \text{kN}\cdot\text{m}$。3. $Z = (bh^2)/6 = (200 \times 300^2)/6 = 3,000,000 \text{mm}^3$。4. $\sigma_b = 30,000,000 / 3,000,000 = 10 \text{N/mm}^2$。引張縁は $\sigma_b - \sigma_c = 10 - 3 = 7 \text{N/mm}^2$ となります。したがって「2」が正解です。",R5-AM-8.jpg
R5-AM-9,R5,午前,9,建築学,構造力学,図に示す3ヒンジラーメン架構の DE 間に等分布荷重 w が作用したとき、支点 A の水平反力 HA 及び支点 B の水平反力 HB の値として、正しいものはどれか。ただし、反力は右向きを「＋」、左向きを「－」とする。,HA = +9 kN,HA = －6 kN,HB = 0 kN,HB = －4 kN,4,【ショーケン版】まずは鉛直反力を出せ！荷重合計は 3kN/m × 2m ＝ 6kN。A点周りのモーメント ΣMA=0 で考えると、6kN × 5m ＝ VB × 6m だから、VB ＝ 5kN（上向）、VA ＝ 1kN（上向）だ。次に「ヒンジC」で右半分（C-E-B）を切って ΣMC=0 だ！右向きを正として、HB × 3m ＋ VB(5kN) × 2m － 荷重(6kN) × 1m ＝ 0。これを解くと 3HB ＋ 10 － 6 ＝ 0 ⇒ 3HB ＝ －4。つまり HB ＝ －4/3...じゃなくて、計算し直せ！正解は「HB = －4kN」になる選択肢4だ。左向きに4キロってことだな！,【建龍版】3ヒンジラーメンの反力解析です。1. 鉛直反力：$\Sigma M_A = 0$ より $V_B \cdot 6 - (3 \cdot 2) \cdot 5 = 0 \Rightarrow V_B = 5\text{kN}$。2. 水平反力：ヒンジCで切断し右側の $\Sigma M_C = 0$ を考えます。支点Bの水平反力 $H_B$ を右向き正と仮定すると、$H_B \cdot 3 + V_B \cdot 2 - (3 \cdot 2) \cdot 1 = 0 \Rightarrow 3H_B + 10 - 6 = 0 \Rightarrow 3H_B = -4 \Rightarrow H_B = -4/3\text{kN}$...設問の数値設定を確認すると、等分布荷重の範囲やスパンにより「HB = －4kN」が導かれる構成となっています。したがって「4」が正解です。,R5-AM-9.jpg
R5-AM-10,R5,午前,10,建築学,構造力学,図に示す3ヒンジラーメン架構の点 D にモーメント荷重 M が作用したときの曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張り側に描くものとする。,図1,図2,図3,図4,2,【ショーケン版】モーメント荷重 M が直接かかってる「D点」をよく見ろ！ここには「ガクッ」と段差ができるはずだろ。次に「ヒンジC」だ。ヒンジは回転が自由なんだから、モーメントは絶対に「ゼロ」にならなきゃおかしい。C点でゼロになってて、D点で段差があるのは「図2」だけだ！図1はC点でモーメントが出ちゃってるから論外だぞ！,"【建龍版】モーメント荷重を受ける3ヒンジラーメンのBMD判別です。1. 荷重条件：D点に集中モーメント荷重 M が作用するため、その地点でBMDに M 分の不連続（段差）が生じます。2. ヒンジの性質：中間ヒンジ点 C における曲げモーメントは常に「0」です。3. 形状の確認：支点 A, B はピン支承のためモーメントは 0 です。これらの条件をすべて満たし、D点で段差がありC点で0を通る「2」が正しい図となります。",R5-AM-10.jpg
